state,county,fipscode,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,population,voter_turnout,voter_gap,trump,biden
Alabama,Autauga County,1001,2.7,24.6,51.12471836616032,5.2,54366,13.8,21.9,28.6,34.1,91.8,186.5,55869,32.61410181392627,44.5,71.5,27.0
Alabama,Baldwin County,1003,4.4,16.9,51.058713611329665,5.5,49626,11.0,28.6,22.3,27.4,114.6,229.4,223234,29.882993512511586,53.900000000000006,76.2,22.3
Alabama,Barbour County,1005,4.2,54.29999999999999,46.65852448379833,8.9,34971,25.4,13.6,31.8,44.4,31.0,223.3,24686,48.408900291084905,8.0,53.6,45.6
Alabama,Bibb County,1007,2.4,25.400000000000016,45.74402125775022,6.6,39546,22.1,10.2,33.9,40.3,36.8,230.3,22394,45.79889027290228,57.7,78.4,20.7
Alabama,Blount County,1009,9.0,12.599999999999989,50.59566129675551,5.4,45567,21.9,12.3,28.0,34.6,88.9,205.3,57826,35.41034507091948,80.00000000000001,89.60000000000001,9.6
Alabama,Bullock County,1011,0.3,78.4,46.40198511166253,7.8,26580,34.5,14.1,31.7,43.0,17.5,211.2,10101,43.94788114953726,-49.900000000000006,24.8,74.7
Alabama,Butler County,1013,0.3,47.800000000000004,53.214747093312134,7.5,32512,23.4,14.3,34.4,36.3,27.0,259.2,19448,38.767061258813634,15.799999999999997,57.599999999999994,41.8
Alabama,Calhoun County,1015,3.6,27.3,51.87878158352592,7.0,41123,19.9,16.9,31.3,32.2,195.7,226.9,113605,42.58737540024665,39.099999999999994,68.89999999999999,29.799999999999997
Alabama,Chambers County,1017,2.2,43.79999999999999,51.85130550228647,6.0,34116,22.5,12.2,31.6,39.7,57.4,277.4,33254,41.85231730073499,15.699999999999996,57.3,41.6
Alabama,Cherokee County,1019,1.6,8.200000000000003,50.2533359118159,5.4,38013,20.5,13.7,33.5,33.6,46.9,277.8,26196,40.47041707080504,72.8,86.0,13.200000000000001
Alabama,Chilton County,1021,7.7,19.599999999999998,50.79557128181714,5.7,41450,22.5,13.5,30.4,35.9,63.0,221.9,44428,39.38821752265861,67.39999999999999,83.3,15.9
Alabama,Choctaw County,1023,0.5,43.70000000000001,52.403700333636635,9.1,35049,25.9,12.8,30.0,40.8,15.2,202.2,12589,28.63018940118615,15.699999999999996,57.599999999999994,41.9
Alabama,Clarke County,1025,0.2,47.0,52.69441624365482,11.8,36620,19.9,11.9,27.5,38.2,20.9,239.4,23622,31.356420600408658,12.100000000000001,55.800000000000004,43.7
Alabama,Clay County,1027,3.1,19.799999999999994,51.734168717833974,6.2,35940,25.1,8.6,31.7,37.3,23.1,250.9,13235,33.091366627952,62.500000000000014,80.80000000000001,18.3
Alabama,Cleburne County,1029,2.4,7.299999999999991,50.68612356918134,6.0,40418,24.7,10.6,30.1,30.0,26.7,258.4,14910,36.3580192426516,80.5,89.8,9.3
Alabama,Coffee County,1031,6.7,28.999999999999996,50.609911303428426,5.9,46931,16.9,23.2,28.7,33.7,73.6,204.0,52342,41.671487929311525,53.10000000000001,75.9,22.8
Alabama,Colbert County,1033,2.4,21.2,51.97391384219712,7.9,43057,16.4,17.6,31.4,37.5,91.8,258.8,55241,41.538096930915984,41.599999999999994,70.19999999999999,28.599999999999998
Alabama,Conecuh County,1035,1.8,49.7,52.249189659261596,9.2,29101,24.0,8.3,31.6,36.4,15.6,264.4,12067,34.58010599266205,7.5,53.5,46.0
Alabama,Coosa County,1037,0.1,34.7,50.031948881789134,6.7,34679,24.1,9.1,30.5,39.7,17.7,273.4,10663,39.125597953053735,33.49999999999999,66.3,32.800000000000004
Alabama,Covington County,1039,1.6,16.499999999999996,51.66982062421707,7.1,36149,20.0,14.6,33.0,34.0,36.6,274.2,37049,40.2756823481004,68.10000000000001,83.7,15.6
Alabama,Crenshaw County,1041,1.8,28.799999999999994,51.06014712245781,6.0,34445,23.1,12.5,29.8,39.7,22.8,265.8,13772,37.285565349256,47.8,73.5,25.7
Alabama,Cullman County,1043,4.2,7.70000000000001,50.76924959915793,5.3,39922,18.5,15.1,25.7,33.4,109.4,236.7,83768,32.6727085080307,77.5,88.2,10.7
Alabama,Dale County,1045,6.1,30.499999999999996,50.349239770817725,6.4,41940,15.3,16.9,26.9,36.5,89.6,219.0,49172,47.00723643504695,46.3,72.5,26.200000000000003
Alabama,Dallas County,1047,1.0,72.3,53.84860753281806,9.6,26602,22.3,14.5,30.7,40.8,44.8,248.6,37196,41.05864105864106,-37.6,30.9,68.5
Alabama,DeKalb County,1049,14.3,19.2,50.37784082928337,6.0,36241,26.9,11.3,30.4,30.4,91.5,195.7,71513,40.858024566852905,69.8,84.39999999999999,14.6
